model,predictors,AICc,LL,mR2,cR2,RDF,n_predictors,adjAICc,deltaAICc,delta_adjAICc
    location),mean_relief + sd_relief + canopy,956.684681333973,-469.5511318757777,NA,NA,92,3,962.684681333973,3.6036235212138763,7.603623521213876
total_abundance ~ bait + (1 | location),none,963.252008788296,-476.3068554579778,NA,NA,95,0,963.252008788296,10.170950975536925,8.170950975536925
total_abundance ~ bait + mean_relief + (1 | location),mean_relief,961.3839008416803,-474.24033751761436,NA,NA,94,1,963.3839008416803,8.302843028921188,8.302843028921188
total_abundance ~ bait + depth + mean_relief + ecklonia + (1 | ,depth + mean_relief + ecklonia,957.8584619234576,-470.13802217052,NA,NA,92,3,963.8584619234576,4.777404110698512,8.777404110698512
    location),depth + mean_relief + ecklonia,957.8584619234576,-470.13802217052,NA,NA,92,3,963.8584619234576,4.777404110698512,8.777404110698512
total_abundance ~ bait + mean_relief + macroalgae + (1 | location),mean_relief + macroalgae,959.8859222994413,-472.3342654975467,NA,NA,93,2,963.8859222994413,6.804864486682163,8.804864486682163
total_abundance ~ bait + mean_relief + sd_relief + ecklonia + ,mean_relief + sd_relief + ecklonia,958.087599521068,-470.2525909693252,NA,NA,92,3,964.087599521068,5.006541708308873,9.006541708308873
    (1 | location),mean_relief + sd_relief + ecklonia,958.087599521068,-470.2525909693252,NA,NA,92,3,964.087599521068,5.006541708308873,9.006541708308873
total_abundance ~ bait + depth + macroalgae + ecklonia + (1 | ,depth + macroalgae + ecklonia,958.2077021707856,-470.312642294184,NA,NA,92,3,964.2077021707856,5.12664435802651,9.12664435802651
    location),depth + macroalgae + ecklonia,958.2077021707856,-470.312642294184,NA,NA,92,3,964.2077021707856,5.12664435802651,9.12664435802651
total_abundance ~ bait + depth + sd_relief + ecklonia + (1 | ,depth + sd_relief + ecklonia,958.6051298823352,-470.5113561499588,NA,NA,92,3,964.6051298823352,5.52407206957605,9.52407206957605
    location),depth + sd_relief + ecklonia,958.6051298823352,-470.5113561499588,NA,NA,92,3,964.6051298823352,5.52407206957605,9.52407206957605
total_abundance ~ bait + sd_relief + macroalgae + ecklonia + ,sd_relief + macroalgae + ecklonia,958.7014887133474,-470.5595355654649,NA,NA,92,3,964.7014887133474,5.620430900588303,9.620430900588303
    (1 | location),sd_relief + macroalgae + ecklonia,958.7014887133474,-470.5595355654649,NA,NA,92,3,964.7014887133474,5.620430900588303,9.620430900588303
total_abundance ~ bait + mean_relief + macroalgae + ecklonia + ,mean_relief + macroalgae + ecklonia,958.7671793771236,-470.592380897353,NA,NA,92,3,964.7671793771236,5.686121564364498,9.686121564364498
    (1 | location),mean_relief + macroalgae + ecklonia,958.7671793771236,-470.592380897353,NA,NA,92,3,964.7671793771236,5.686121564364498,9.686121564364498
total_abundance ~ bait + depth + macroalgae + (1 | location),depth + macroalgae,961.3246222438111,-473.0536154697316,NA,NA,93,2,965.3246222438111,8.243564431051936,10.243564431051936
total_abundance ~ bait + sd_relief + macroalgae + (1 | location),sd_relief + macroalgae,961.6301087112583,-473.20635870345524,NA,NA,93,2,965.6301087112583,8.549050898499218,10.549050898499218
total_abundance ~ bait + scytothalia + (1 | location),scytothalia,963.8498660691633,-475.4733201313559,NA,NA,94,1,965.8498660691633,10.768808256404213,10.768808256404213
total_abundance ~ bait + scytothalia + macroalgae + (1 | location),scytothalia + macroalgae,962.4195284674903,-473.6010685815712,NA,NA,93,2,966.4195284674903,9.338470654731168,11.338470654731168
total_abundance ~ bait + mean_relief + scytothalia + (1 | location),mean_relief + scytothalia,962.5054595794749,-473.6440341375635,NA,NA,93,2,966.5054595794749,9.424401766715732,11.424401766715732
total_abundance ~ bait + depth + mean_relief + macroalgae + (1 | ,depth + mean_relief + macroalgae,960.8074483837052,-471.61251540064376,NA,NA,92,3,966.8074483837052,7.726390570946023,11.726390570946023
    location),depth + mean_relief + macroalgae,960.8074483837052,-471.61251540064376,NA,NA,92,3,966.8074483837052,7.726390570946023,11.726390570946023
total_abundance ~ bait + mean_relief + sd_relief + (1 | location),mean_relief + sd_relief,962.8290993816694,-473.80585403866075,NA,NA,93,2,966.8290993816694,9.748041568910253,11.748041568910253
total_abundance ~ bait + mean_relief + sd_relief + macroalgae + ,mean_relief + sd_relief + macroalgae,960.9961234453192,-471.7068529314508,NA,NA,92,3,966.9961234453192,7.915065632560072,11.915065632560072
    (1 | location),mean_relief + sd_relief + macroalgae,960.9961234453192,-471.7068529314508,NA,NA,92,3,966.9961234453192,7.915065632560072,11.915065632560072
total_abundance ~ bait + depth + mean_relief + (1 | location),depth + mean_relief,963.076875280913,-473.92974198828256,NA,NA,93,2,967.076875280913,9.99581746815386,11.99581746815386
total_abundance ~ bait + sd_relief + (1 | location),sd_relief,965.192275579361,-476.1445248864547,NA,NA,94,1,967.192275579361,12.11121776660184,12.11121776660184
total_abundance ~ bait + depth + (1 | location),depth,965.2430813445404,-476.1699277690444,NA,NA,94,1,967.2430813445404,12.162023531781301,12.162023531781301
total_abundance ~ bait + mean_relief + scytothalia + macroalgae + ,mean_relief + scytothalia + macroalgae,962.2413205438877,-472.32945148073503,NA,NA,92,3,968.2413205438877,9.160262731128569,13.160262731128569
    (1 | location),mean_relief + scytothalia + macroalgae,962.2413205438877,-472.32945148073503,NA,NA,92,3,968.2413205438877,9.160262731128569,13.160262731128569
total_abundance ~ bait + depth + sd_relief + macroalgae + (1 | ,depth + sd_relief + macroalgae,963.2616571474064,-472.83961978249437,NA,NA,92,3,969.2616571474064,10.18059933464724,14.18059933464724
    location),depth + sd_relief + macroalgae,963.2616571474064,-472.83961978249437,NA,NA,92,3,969.2616571474064,10.18059933464724,14.18059933464724
total_abundance ~ bait + depth + scytothalia + macroalgae + (1 | ,depth + scytothalia + macroalgae,963.6866881468547,-473.05213528221856,NA,NA,92,3,969.6866881468547,10.605630334095622,14.605630334095622
    location),depth + scytothalia + macroalgae,963.6866881468547,-473.05213528221856,NA,NA,92,3,969.6866881468547,10.605630334095622,14.605630334095622
total_abundance ~ bait + depth + scytothalia + (1 | location),depth + scytothalia,965.8786685565117,-475.3306386260819,NA,NA,93,2,969.8786685565117,12.797610743752557,14.797610743752557
total_abundance ~ bait + sd_relief + scytothalia + macroalgae + ,sd_relief + scytothalia + macroalgae,963.9480943167166,-473.1828383671495,NA,NA,92,3,969.9480943167166,10.867036503957479,14.867036503957479
    (1 | location),sd_relief + scytothalia + macroalgae,963.9480943167166,-473.1828383671495,NA,NA,92,3,969.9480943167166,10.867036503957479,14.867036503957479
total_abundance ~ bait + sd_relief + scytothalia + (1 | location),sd_relief + scytothalia,966.0530807483842,-475.4178447220182,NA,NA,93,2,970.0530807483842,12.972022935625091,14.972022935625091
total_abundance ~ bait + depth + mean_relief + scytothalia + ,depth + mean_relief + scytothalia,964.2664223419702,-473.34200237977626,NA,NA,92,3,970.2664223419702,11.185364529211029,15.185364529211029
    (1 | location),depth + mean_relief + scytothalia,964.2664223419702,-473.34200237977626,NA,NA,92,3,970.2664223419702,11.185364529211029,15.185364529211029
total_abundance ~ bait + mean_relief + sd_relief + scytothalia + ,mean_relief + sd_relief + scytothalia,964.3409514125044,-473.3792669150434,NA,NA,92,3,970.3409514125044,11.259893599745283,15.259893599745283
    (1 | location),mean_relief + sd_relief + scytothalia,964.3409514125044,-473.3792669150434,NA,NA,92,3,970.3409514125044,11.259893599745283,15.259893599745283
total_abundance ~ bait + depth + mean_relief + sd_relief + (1 | ,depth + mean_relief + sd_relief,964.8379003756932,-473.62774139663776,NA,NA,92,3,970.8379003756932,11.756842562934025,15.756842562934025
    location),depth + mean_relief + sd_relief,964.8379003756932,-473.62774139663776,NA,NA,92,3,970.8379003756932,11.756842562934025,15.756842562934025
total_abundance ~ bait + depth + sd_relief + (1 | location),depth + sd_relief,967.3597576533612,-476.07118317450664,NA,NA,93,2,971.3597576533612,14.27869984060203,16.27869984060203
total_abundance ~ bait + depth + sd_relief + scytothalia + (1 | ,depth + sd_relief + scytothalia,968.2054648070847,-475.31152361233353,NA,NA,92,3,974.2054648070847,15.124406994325568,19.124406994325568
    location),depth + sd_relief + scytothalia,968.2054648070847,-475.31152361233353,NA,NA,92,3,974.2054648070847,15.124406994325568,19.124406994325568
